Comandos PUSH C2-260:

#Adicionar ao software:

"Comandos do Dispositivo",
"ID","Número de Série","Conteúdo","Imediato","Horário de Envio","Tempo de Retorno","Valor Retornado","Observação",
"623","20161116999","DATA UPDATE extboardrelationlist ExtBoardID=1	ReactType=1	EntityID=3	SeqNo=1
ExtBoardID=1	ReactType=4	EntityID=5	SeqNo=1
ExtBoardID=1	ReactType=4	EntityID=6	SeqNo=2
ExtBoardID=1	ReactType=2	EntityID=3	SeqNo=1
ExtBoardID=1	ReactType=3	EntityID=3	SeqNo=1
...","Não","2026-08-13 15:43:36","2026-08-13 15:43:37","0","",
"622","20161116999","DATA UPDATE AuxOut ID=3	DevID=4	Address=3	Disable=0
...","Não","2026-08-13 15:43:36","2026-08-13 15:43:37","0","",
"621","20161116999","DATA UPDATE InputIOSetting Number=3	InType=1	TimeZoneId=1	DevID=4
...","Não","2026-08-13 15:43:36","2026-08-13 15:43:37","0","",
"620","20161116999","DATA UPDATE AuxIn ID=3	DevID=4	Address=3	Disable=0
...","Não","2026-08-13 15:43:36","2026-08-13 15:43:37","0","",
"619","20161116999","DATA UPDATE DevParameters ID=4	Name=IsSupportReaderEncrypt	Value=0
...","Não","2026-08-13 15:43:36","2026-08-13 15:43:37","0","",
"618","20161116999","DATA UPDATE ReaderProperty ID=5	DoorID=3	Type=2	Address=	IPAddress=	Port=4376	MAC=	InOut=0	Disable=0	VerifyType=0	Multicast=	DevID=4
ID=6	DoorID=3	Type=2	Address=	IPAddress=	Port=4376	MAC=	InOut=1	Disable=0	VerifyType=0	Multicast=	DevID=4
...","Não","2026-08-13 15:43:36","2026-08-13 15:43:36","0","",
"617","20161116999","DATA UPDATE DoorParameters ID=3	Name=DoorAutoMatch	Value=1	DevID=4
ID=3	Name=DoorDrivertime	Value=5	DevID=4
ID=3	Name=DoorKeepOpenTimeZone	Value=0	DevID=4
ID=3	Name=DoorValidTZ	Value=1	DevID=4
ID=3	Name=DoorSupperPassWord	Value=	DevID=4
ID=3	Name=DoorIntertime	Value=2	DevID=4
ID=3	Name=DoorVerifyType	Value=10	DevID=4
ID=3	Name=DoorSensorType	Value=0	DevID=4
ID=3	Name=DoorDetectortime	Value=15	DevID=4
ID=3	Name=DoorCloseAndLock	Value=0	DevID=4
ID=3	Name=DoorForcePassWord	Value=	DevID=4
ID=3	Name=DoorInTimeAPB	Value=0	DevID=4
ID=3	Name=DoorREXInput	Value=1	DevID=4
ID=3	Name=DoorREXTimeOut	Value=	DevID=4
ID=3	Name=DoorDelayOpenTime	Value=0	DevID=4
ID=3	Name=ExtDoorDelayDrivertime	Value=5	DevID=4
ID=3	Name=DoorMultiCardInterTime	Value=10	DevID=4
...","Não","2026-08-13 15:43:36","2026-08-13 15:43:37","0","",
"616","20161116999","DATA UPDATE InputIOSetting Number=3	InType=0	TimeZoneId=1	DevID=4
...","Não","2026-08-13 15:43:36","2026-08-13 15:43:37","0","",
"615","20161116999","DATA UPDATE ReaderWGFormat ReaderID=5	DevID=4	WGFormatID=0	ParityVerifyDisable=0	ReversalType=0
ReaderID=6	DevID=4	WGFormatID=0	ParityVerifyDisable=0	ReversalType=0
...","Não","2026-08-13 15:43:35","2026-08-13 15:43:37","0","",
"614","20161116999","DATA DELETE ReaderWGFormat ReaderID=5	DevID=4
ReaderID=6	DevID=4
...","Não","2026-08-13 15:43:35","2026-08-13 15:43:37","0","",
